area_sqft,bhk,location,price,price_unit,property_type,scraped_at,title,url
1595,3,Gurgaon,2.50,Cr,Apartment,2026-02-19T16:45:40.543390,"3 BHK  1595 Sq-ft  Flat  For SaleUllahawas, Gurgaon",https://www.magicbricks.com/propertyDetails/3-BHK-1595-Sq-ft-Multistorey-Apartment-FOR-Sale-Ullahawas-in-Gurgaon&id=4d423832333432313037
1500,3,Bangalore,3.10,Cr,Apartment,2026-02-19T16:45:42.947818,"3 BHK  1858 Sq-ft  Flat  For SaleVarthur, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1858-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423833313237393735
1000,2,Mumbai,2.20,Cr,Apartment,2026-02-19T16:45:44.780875,"2 BHK Flat For Sale inShapoorji Pallonji ViciniaPowai, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Sale-Powai-in-Mumbai&id=4d423830373732363637
1320,3,Ghaziabad,94.0,Lac,Apartment,2026-02-19T16:45:45.107848,"3 BHK Flat For Sale inSupertech LivingstonCrossings Republik, Ghaziabad",https://www.magicbricks.com/propertyDetails/3-BHK-1320-Sq-ft-Multistorey-Apartment-FOR-Sale-Crossings-Republik-in-Ghaziabad&id=4d423831373731383233
1143,2,Bangalore,1.75,Cr,Apartment,2026-02-19T16:45:46.377217,"2 BHK  1143 Sq-ft  Flat  For SaleWhitefield, Bangalore",https://www.magicbricks.com/propertyDetails/2-BHK-1143-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423833333832363233
991,3,Greater Noida,2.20,Cr,Apartment,2026-02-19T16:45:49.293289,"3 BHK  1575 Sq-ft  Flat  For SaleTechzone 4, Greater Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1575-Sq-ft-Multistorey-Apartment-FOR-Sale-Techzone-4-in-Greater-Noida&id=4d423833333639303539
775,2,Mumbai,2.70,Cr,Apartment,2026-02-19T16:45:49.367813,"2 BHK  1116 Sq-ft  Flat  For SaleGhatkopar East, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-1116-Sq-ft-Multistorey-Apartment-FOR-Sale-Ghatkopar-East-in-Mumbai&id=4d423831303837303933
1474,3,Bangalore,1.70,Cr,Apartment,2026-02-19T16:45:51.578181,"3 BHK  1474 Sq-ft  Flat  For SaleHosur Road, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1474-Sq-ft-Multistorey-Apartment-FOR-Sale-Hosur-Road-in-Bangalore&id=4d423734383336333535
1450,3,Mumbai,4.0,Cr,Apartment,2026-02-19T16:45:51.977567,"3 BHK  1450 Sq-ft  Flat  For SalePowai, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-1450-Sq-ft-Multistorey-Apartment-FOR-Sale-Powai-in-Mumbai&id=4d423833313734343139
1700,3,Gurgaon,2.75,Cr,Apartment,2026-02-19T16:45:52.718239,"3 BHK  1700 Sq-ft  Flat  For SaleSector 113, Gurgaon",https://www.magicbricks.com/propertyDetails/3-BHK-1700-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-113-in-Gurgaon&id=4d423833333639303535
795,2,Mumbai,2.12,Cr,Apartment,2026-02-19T16:45:55.465142,"2 BHK  1194 Sq-ft  Flat  For SaleKanjurmarg East, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-1194-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanjurmarg-East-in-Mumbai&id=4d423832343132323231
1250,3,Bangalore,2.72,Cr,Apartment,2026-02-19T16:45:55.765735,"3 BHK  1682 Sq-ft  Flat  For SaleWhitefield, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1682-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423830353138333439
